"","mu","lambda","k"
"1",0.207821997728644,0.0189202614577428,56
"2",2.37921098837699,0.855240519491065,56
"3",2.39357718117977,1.00831751134926,56
"4",2.68649344397778,0.968265456438376,56
"5",2.69145620879315,0.832593960354675,37
"6",3.44100603890702,0.749520584641722,37
"7",3.8971575253013,1.0545200432865,37
"8",3.3622737104317,0.768693377522888,37
"9",3.14649082011849,0.892357598275047,37
"10",3.14747362018764,0.857574948576544,37
"11",3.29956110824249,0.893522043016885,37
"12",3.11644500018251,0.826705822578035,37
"13",2.97849229982256,0.856089679196652,37
"14",3.39365949036634,1.07483765073966,37
"15",3.22577834277265,0.961709568095168,37
"16",2.93231158217736,0.877382196543865,37
"17",3.14550375647795,0.856846412254479,37
"18",3.03819127877575,1.1696054007651,37
"19",3.38923523985888,0.819379262828625,37
"20",3.15605828997982,0.936953065392943,37
"21",3.31561918968772,0.9079335394623,37
"22",3.05449236900453,1.08999127717734,37
"23",3.06201306813464,0.816166982686484,37
"24",2.65010774025778,1.15677996900599,43
"25",2.99105258923522,0.948520505826388,43
"26",2.84508806101173,0.925926330629861,37
"27",3.57663412687239,0.963832670723961,37
"28",2.87981759525041,0.938503861493241,37
"29",3.08541421481979,0.954322587013539,36
"30",2.84386180473288,0.894712851056902,36
"31",3.2584131542246,0.861559387865257,36
"32",2.96013573671325,0.973786980315651,36
"33",3.27341911908152,1.23725044447374,36
"34",3.4169666777252,0.970288206916584,40
"35",3.01427339332491,0.807713121447274,40
"36",2.83824933543662,0.974303515192766,41
"37",3.04239342311991,0.977849748822623,41
"38",3.82079792566006,0.862267227152667,41
"39",2.92841595731517,0.990649685278351,41
"40",3.50365860780091,0.955702401174211,41
"41",2.55529084645042,0.877591406973053,41
"42",3.30075835942347,0.910737100165786,41
"43",3.11423995225779,0.794357807382111,41
"44",3.06792274534863,1.02810947399268,41
"45",3.06085543589611,0.799771168579194,41
"46",2.94311369395038,0.941243833723891,41
"47",2.87981577157652,0.874589827127098,41
"48",3.53952643480605,0.833313057134394,41
"49",2.76657114447555,0.989897154072034,41
"50",3.0720379611392,0.676976712470902,41
"51",3.03724464739,0.757830328164058,41
"52",2.51459301330295,0.755638580921074,41
"53",2.94002794111913,0.76141373783632,41
"54",2.77070626261256,0.936042780083238,41
"55",3.14151365130916,0.971239374861267,41
"56",3.15112172374523,0.824164813715074,41
"57",2.97507206140158,0.848176565149581,41
"58",2.99452495109222,0.859521210983226,41
"59",2.9402467869769,0.917750347305303,41
"60",2.67126512644813,0.870833053790026,41
"61",3.45038542999203,0.90615587711193,41
"62",2.75136310382617,0.838157025472779,41
"63",2.9153183306276,1.03183339934094,41
"64",2.79715519294864,0.899805445036359,41
"65",3.29108095922649,0.900849497749324,39
"66",3.32335231941393,0.867367162965542,39
"67",3.07919246545455,0.695447877354816,39
"68",2.63342138434057,0.914738863238746,39
"69",2.58138221618772,0.807822950559941,39
"70",3.12916254721989,0.979047237725931,39
"71",3.68135305197877,1.0734841514545,39
"72",2.82505339152005,0.968555776108175,39
"73",3.0552102939591,0.939548891784129,39
"74",3.820485223056,1.22416176183236,39
"75",3.25850109411372,0.825566818719035,39
"76",3.04018507024508,0.835006008487147,39
"77",3.11977215325915,0.751158766675633,39
"78",3.39527545169457,1.14369747373884,39
"79",3.03778331768194,0.974651519555602,39
"80",3.15071766711143,0.978364076935988,39
"81",3.04629836442033,0.896927909817509,39
"82",3.38536137124587,0.897627148591601,39
"83",3.14244092327473,1.14575080905779,39
"84",3.1322507434808,1.06064020543682,39
"85",2.74528004163357,0.926076122483323,39
"86",3.20502059364472,0.71341137547,39
"87",3.35766835562288,0.913680617147486,42
"88",3.38483004837548,0.651142592639452,42
"89",3.18682808340967,0.794828020934859,42
"90",2.72295602018954,0.932597784270871,42
"91",3.01394615125704,0.725915606745236,42
"92",3.07664016566387,0.869498443399348,42
"93",3.02525637316436,0.894942536309196,42
"94",3.59460952630903,0.848008100123458,42
